line	ord	function	method	current_k	nodes_A_precedent	nodes_B_scalar	proposed_k_A	proposed_k_B	delta_A	delta_B	nested_calc_results	non_calc_calls_in_tree	structurally_zero_subtree	site_text
2349	1	freelancerBill	plus	64	5	5	16	16	48	48	0			work.calc(64).plus(rival, coldSort, binary, boundary, matches)
2354	1	freelancerBill	plus	64	13	13	32	32	32	32	7			work.calc(64).plus(60, writerBill, conceptMapBill, writerLookupBill, statusBill, work.calc(32).times(writerRows, 30 + LITERAL.writerAssignment + titleWidth * 2), work.calc(8).times(source.scriptDevelopment.projects.length, 12), work.calc(32).times(companyRows, 12), busySetBill, work.calc(8).times(researchSeats, 12), work.calc(32).times(source.technology.projects.length, 6), work.calc(32).times(indexedRows, 6), work.calc(32).times(h?.businesses.length ?? 0, 16))
2355	1	freelancerBill	times	32	9	8	32	16	0	16	0			work.calc(32).times(writerRows, 30 + LITERAL.writerAssignment + titleWidth * 2)
2356	1	freelancerBill	times	8	5	2	16	8	-8	0	0			work.calc(8).times(source.scriptDevelopment.projects.length, 12)
2357	1	freelancerBill	times	32	2	2	8	8	24	24	0			work.calc(32).times(companyRows, 12)
2357	2	freelancerBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(researchSeats, 12)
2358	1	freelancerBill	times	32	5	2	16	8	16	24	0			work.calc(32).times(source.technology.projects.length, 6)
2359	1	freelancerBill	times	32	2	2	8	8	24	24	0			work.calc(32).times(indexedRows, 6)
2359	2	freelancerBill	times	32	7	5	16	16	16	16	0			work.calc(32).times(h?.businesses.length ?? 0, 16)
2363	1	freelancerBill	plus	64	4	4	8	8	56	56	3			work.calc(64).plus(240, work.calc(32).times(source.seed.length + 50, 8), work.calc(32).times(Math.min(t, TUNING.HIRING_FREELANCER_MARKET_SIZE), 100), work.calc(8).times(t, 6))
2363	2	freelancerBill	times	32	6	4	16	8	16	24	0			work.calc(32).times(source.seed.length + 50, 8)
2364	1	freelancerBill	times	32	7	5	16	16	16	16	0	call:Math.min		work.calc(32).times(Math.min(t, TUNING.HIRING_FREELANCER_MARKET_SIZE), 100)
2364	2	freelancerBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(t, 6)
2365	1	freelancerBill	plus	64	5	5	16	16	48	48	0			work.calc(64).plus(busy, rival, random, filterBill, contractBill)
2383	1	readyOccupancyBill	add	16	21	16	64	32	-48	-16	0			work.calc(16).add(productionClaims, row.reservations.length + (row.shootingTask === null ? 0 : 1) + (row.bindings.setId === null ? 0 : 1))
2388	1	readyOccupancyBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(scriptClaims, castingClaims)
2389	1	readyOccupancyBill	plus	64	3	3	8	8	56	56	0			work.calc(64).plus(slotClaims, productionClaims, mounts)
2390	1	readyOccupancyBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(d.d, 26)
2391	1	readyOccupancyBill	plus	64	5	4	16	8	48	56	1			work.calc(64).plus(LITERAL.claim, APPEND, 20, work.calc(32).times(2, 50 + 2 * d.d))
2391	2	readyOccupancyBill	times	32	7	6	16	16	16	16	0			work.calc(32).times(2, 50 + 2 * d.d)
2394	1	readyOccupancyBill	plus	64	8	8	16	16	48	48	7			work.calc(64).plus(160, work.calc(32).times(source.scriptDevelopment.projects.length + source.castingSessions.sessions.length, 16), work.calc(32).times(source.operations.workflows.length, 20), work.calc(8).times(source.sets.length, 14), work.calc(32).times(slotClaims + allClaims, rawClaim), work.calc(32).times(slotClaims, work.calc(64).plus(24, work.calc(8).times(4, work.calc(8).keyBill(slotClaims, keyLength)))), work.calc(8).times(allClaims, 8), work.calc(32).times(slotClaims, 4 + work.calc(8).keyBill(slotClaims, keyLength)))
2395	1	readyOccupancyBill	times	32	10	4	32	8	0	24	0			work.calc(32).times(source.scriptDevelopment.projects.length + source.castingSessions.sessions.length, 16)
2396	1	readyOccupancyBill	times	32	5	2	16	8	16	24	0			work.calc(32).times(source.operations.workflows.length, 20)
2396	2	readyOccupancyBill	times	8	4	2	8	8	0	0	0			work.calc(8).times(source.sets.length, 14)
2397	1	readyOccupancyBill	times	32	4	4	8	8	24	24	0			work.calc(32).times(slotClaims + allClaims, rawClaim)
2398	1	readyOccupancyBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(slotClaims, work.calc(64).plus(24, work.calc(8).times(4, work.calc(8).keyBill(slotClaims, keyLength))))
2398	2	readyOccupancyBill	plus	64	2	2	8	8	56	56	1			work.calc(64).plus(24, work.calc(8).times(4, work.calc(8).keyBill(slotClaims, keyLength)))
2398	3	readyOccupancyBill	times	8	2	2	8	8	0	0	1			work.calc(8).times(4, work.calc(8).keyBill(slotClaims, keyLength))
2398	4	readyOccupancyBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(slotClaims, keyLength)
2399	1	readyOccupancyBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(allClaims, 8)
2399	2	readyOccupancyBill	times	32	4	4	8	8	24	24	1			work.calc(32).times(slotClaims, 4 + work.calc(8).keyBill(slotClaims, keyLength))
2399	3	readyOccupancyBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(slotClaims, keyLength)
2413	1	initialAdmissionBill	add	16	12	9	32	32	-16	-16	0			work.calc(16).add(rawClaims, row.reservations.length + (row.shootingTask === null ? 0 : 1))
2414	1	initialAdmissionBill	add	8	4	2	8	8	0	0	0			work.calc(8).add(indexedClaims, row.reservations.length)
2418	1	initialAdmissionBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(reservationVisits, 1)
2420	1	initialAdmissionBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(rawClaims, 1)
2421	1	initialAdmissionBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(indexedClaims, 1)
2428	1	initialAdmissionBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(developmentCapacity, facility.capacity)
2432	1	initialAdmissionBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(indexedClaims, d.external)
2433	1	initialAdmissionBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
2433	2	initialAdmissionBill	add	8	3	2	8	8	0	0	0			work.calc(8).add(d.d, 26)
2434	1	initialAdmissionBill	keyBill	8	4	4	8	8	0	0	0			work.calc(8).keyBill(occupied + 1, keyLength)
2439	1	initialAdmissionBill	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(0, keyLength)
2440	1	initialAdmissionBill	plus	64	4	4	8	8	56	56	3			work.calc(64).plus(40, work.calc(32).times(d.n, 20 + 2 * eq), work.calc(8).times(reservationVisits, 5), work.calc(32).times(rawClaims, work.calc(64).plus(LITERAL.claim, APPEND, 20, work.calc(32).times(2, 50 + 2 * d.d))))
2440	2	initialAdmissionBill	times	32	7	6	16	16	16	16	0			work.calc(32).times(d.n, 20 + 2 * eq)
2441	1	initialAdmissionBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(reservationVisits, 5)
2442	1	initialAdmissionBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(rawClaims, work.calc(64).plus(LITERAL.claim, APPEND, 20, work.calc(32).times(2, 50 + 2 * d.d)))
2442	2	initialAdmissionBill	plus	64	5	4	16	8	48	56	1			work.calc(64).plus(LITERAL.claim, APPEND, 20, work.calc(32).times(2, 50 + 2 * d.d))
2442	3	initialAdmissionBill	times	32	7	6	16	16	16	16	0			work.calc(32).times(2, 50 + 2 * d.d)
2443	1	initialAdmissionBill	plus	64	5	5	16	16	48	48	3			work.calc(64).plus(raw, 40, work.calc(32).times(rawClaims, 16 + 2 * eq), work.calc(32).times(indexedClaims, work.calc(8).times(3, key)), work.calc(32).times(d.external, work.calc(8).add(4, key)))
2444	1	initialAdmissionBill	times	32	6	6	16	16	16	16	0			work.calc(32).times(rawClaims, 16 + 2 * eq)
2445	1	initialAdmissionBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(indexedClaims, work.calc(8).times(3, key))
2445	2	initialAdmissionBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(3, key)
2446	1	initialAdmissionBill	times	32	3	2	8	8	24	24	1			work.calc(32).times(d.external, work.calc(8).add(4, key))
2446	2	initialAdmissionBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(4, key)
2447	1	initialAdmissionBill	plus	64	19	16	64	32	0	32	2	helper:sortBill		work.calc(64).plus(occupancy, 60, work.calc(8).times(d.f, 14), sortBill(d.f, 6 + 2 * eq, work), work.calc(32).times(examined, work.calc(64).plus(14, 50 + 2 * d.d, slotKey, slotKey)), LITERAL.reservation, LITERAL.allocation, 4)
2447	2	initialAdmissionBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(d.f, 14)
2449	1	initialAdmissionBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(examined, work.calc(64).plus(14, 50 + 2 * d.d, slotKey, slotKey))
2449	2	initialAdmissionBill	plus	64	9	8	32	16	32	48	0			work.calc(64).plus(14, 50 + 2 * d.d, slotKey, slotKey)
2453	1	initialAdmissionBill	plus	64	28	21	64	64	0	0	4			work.calc(64).plus(allocation, 80, LITERAL.workflow, d.workflowCopy, work.calc(8).times(2, d.bindingsCopy), 34, work.calc(8).times(2, d.operationsCopy), work.calc(32).times(d.n, 10 + 2 * eq), 70 + 2 * d.d, LITERAL.reservationEvent, LITERAL.phaseEvent, work.calc(32).times(2, LITERAL.stampedEvent + APPEND), 180 + d.dp + d.d)
2454	1	initialAdmissionBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(2, d.bindingsCopy)
2454	2	initialAdmissionBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(2, d.operationsCopy)
2455	1	initialAdmissionBill	times	32	7	6	16	16	16	16	0			work.calc(32).times(d.n, 10 + 2 * eq)
2456	1	initialAdmissionBill	times	32	5	4	16	8	16	24	0			work.calc(32).times(2, LITERAL.stampedEvent + APPEND)
2478	1	admitReady	pay	16	5	3	16	8	0	8	0			work.calc(16).pay(69 + choice.projectId.length)
2482	1	admitReady	plus	64	38	26	>64	64	None	0	0	helper:searchBill;helper:searchBill;helper:searchBill		work.calc(64).plus(120, LITERAL.headerResult, searchBill(source.scriptDevelopment.projects, row => row.id, project.id, work), searchBill(source.castingSessions.sessions, row => row.projectId, project.id, work), searchBill(source.concepts, row => row.id, project.conceptId, work))
2490	1	admitReady	add	16	7	6	16	16	0	0	0			work.calc(16).add(headerBill, 1 + 2 * value.length)
2493	1	admitReady	add	16	7	6	16	16	0	0	0			work.calc(16).add(headerBill, 6 + 2 * value.length)
2502	1	admitReady	plus	64	18	12	64	32	0	32	0			work.calc(64).plus(headerBill, 220, sessionWidth, project.id.length * 2, project.conceptId.length * 2, LITERAL.headerFacts, LITERAL.screenplayChoice, 4)
2510	1	admitReady	plus	64	5	3	16	8	48	56	0			work.calc(64).plus(LITERAL.staffingResult, LITERAL.cast, 70)
2513	1	admitReady	plus	64	12	10	32	32	32	32	0	helper:searchBill		work.calc(64).plus(staffingBill, searchBill(source.talent, row => row.id, id, work), 26)
2517	1	admitReady	plus	64	12	10	32	32	32	32	0	helper:searchBill		work.calc(64).plus(staffingBill, searchBill(source.talent, row => row.id, id, work), 64)
2523	1	admitReady	plus	64	14	12	32	32	32	32	2	call:Math.max		work.calc(64).plus(staffingBill, 320, Math.max(22, idWidth) * 4, LITERAL.staffingChoice, 4, work.calc(32).times(assignments, work.calc(64).plus(LITERAL.roleAssignment, 40, work.calc(8).times(2, work.calc(8).keyBill(assignments, idWidth)))), work.calc(32).times(3, work.calc(8).keyBill(3, idWidth)))
2524	1	admitReady	times	32	2	2	8	8	24	24	1			work.calc(32).times(assignments, work.calc(64).plus(LITERAL.roleAssignment, 40, work.calc(8).times(2, work.calc(8).keyBill(assignments, idWidth))))
2524	2	admitReady	plus	64	4	3	8	8	56	56	1			work.calc(64).plus(LITERAL.roleAssignment, 40, work.calc(8).times(2, work.calc(8).keyBill(assignments, idWidth)))
2525	1	admitReady	times	8	2	2	8	8	0	0	1			work.calc(8).times(2, work.calc(8).keyBill(assignments, idWidth))
2525	2	admitReady	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(assignments, idWidth)
2526	1	admitReady	times	32	2	2	8	8	24	24	1			work.calc(32).times(3, work.calc(8).keyBill(3, idWidth))
2526	2	admitReady	keyBill	8	2	2	8	8	0	0	0			work.calc(8).keyBill(3, idWidth)
2547	1	admitReady	plus	64	2	2	8	8	56	56	1			work.calc(64).plus(3, work.calc(32).times(busyRows.length, work.calc(8).keyBill(busyRows.length, idWidth)))
2547	2	admitReady	times	32	3	2	8	8	24	24	1			work.calc(32).times(busyRows.length, work.calc(8).keyBill(busyRows.length, idWidth))
2547	3	admitReady	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(busyRows.length, idWidth)
2550	1	admitReady	plus	64	8	7	16	16	48	48	1	call:Math.max		work.calc(64).plus(160, Math.max(22, idWidth), work.calc(32).times(staffing.engagedIds.length, 5 + work.calc(8).keyBill(busy.size, idWidth)), 4)
2550	2	admitReady	times	32	6	4	16	8	16	24	1			work.calc(32).times(staffing.engagedIds.length, 5 + work.calc(8).keyBill(busy.size, idWidth))
2551	1	admitReady	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(busy.size, idWidth)
2565	1	admitReady	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(8, work.calc(32).times(source.contracts.length, 10 + work.calc(8).equality(contractWidth)), work.calc(8).keyBill(staffing.engagedIds.length, contractWidth))
2565	2	admitReady	times	32	6	4	16	8	16	24	1			work.calc(32).times(source.contracts.length, 10 + work.calc(8).equality(contractWidth))
2566	1	admitReady	equality	8	1	1	8	8	0	0	0			work.calc(8).equality(contractWidth)
2566	2	admitReady	keyBill	8	4	2	8	8	0	0	0			work.calc(8).keyBill(staffing.engagedIds.length, contractWidth)
2572	1	admitReady	pay	8	4	4	8	8	0	0	0	helper:freelancerBill		work.calc(8).pay(freelancerBill(source, work))
2574	1	admitReady	plus	64	2	2	8	8	56	56	1			work.calc(64).plus(3, work.calc(32).times(market.length, work.calc(8).keyBill(market.length, contractWidth)))
2574	2	admitReady	times	32	3	2	8	8	24	24	1			work.calc(32).times(market.length, work.calc(8).keyBill(market.length, contractWidth))
2574	3	admitReady	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(market.length, contractWidth)
2577	1	admitReady	plus	64	10	8	32	16	32	48	1	call:Math.max		work.calc(64).plus(LITERAL.employmentFacts, 180, Math.max(22, idWidth), 4, work.calc(32).times(staffing.engagedIds.length, work.calc(64).plus(10, work.calc(8).keyBill(contracted.size, contractWidth), work.calc(8).keyBill(freelancerIds.size, contractWidth))))
2578	1	admitReady	times	32	4	2	8	8	24	24	1			work.calc(32).times(staffing.engagedIds.length, work.calc(64).plus(10, work.calc(8).keyBill(contracted.size, contractWidth), work.calc(8).keyBill(freelancerIds.size, contractWidth)))
2578	2	admitReady	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(10, work.calc(8).keyBill(contracted.size, contractWidth), work.calc(8).keyBill(freelancerIds.size, contractWidth))
2579	1	admitReady	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(contracted.size, contractWidth)
2579	2	admitReady	keyBill	8	3	2	8	8	0	0	0			work.calc(8).keyBill(freelancerIds.size, contractWidth)
2585	1	admitReady	pay	32	15	11	32	32	0	0	0			work.calc(32).pay(LITERAL.readyClock + LITERAL.cast + 1 + 2 * choice.craftIds.length + 8)
2590	1	admitReady	pay	16	7	5	16	16	0	0	0			work.calc(16).pay(3 + 2 * branch.productions.length)
2594	1	admitReady	pay	8	5	5	16	16	-8	-8	0	helper:readyOccupancyBill		work.calc(8).pay(readyOccupancyBill(source, d, work))
2600	1	admitReady	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(16, work.calc(8).times(slotCount, 2), work.calc(32).times(slotCount, work.calc(8).keyBill(slotCount, d.d + 26)))
2600	2	admitReady	times	8	2	2	8	8	0	0	0			work.calc(8).times(slotCount, 2)
2601	1	admitReady	times	32	2	2	8	8	24	24	1			work.calc(32).times(slotCount, work.calc(8).keyBill(slotCount, d.d + 26))
2601	2	admitReady	keyBill	8	5	4	16	8	-8	0	0			work.calc(8).keyBill(slotCount, d.d + 26)
2607	1	admitReady	pay	16	6	5	16	16	0	0	0	helper:initialAdmissionBill		work.calc(16).pay(initialAdmissionBill(d, branch.operations, work))
2618	1	admitReady	plus	64	16	13	32	32	32	32	1	helper:work.copyCost;helper:work.copyCost		work.calc(64).plus(190, linkWidth * 2, work.copyCost(source.scriptDevelopment), work.copyCost(project), 40, work.calc(32).times(source.scriptDevelopment.projects.length, 16 + 4 * work.calc(8).equality(linkWidth)), 4)
2619	1	admitReady	times	32	9	6	32	16	0	16	1			work.calc(32).times(source.scriptDevelopment.projects.length, 16 + 4 * work.calc(8).equality(linkWidth))
2619	2	admitReady	equality	8	1	1	8	8	0	0	0			work.calc(8).equality(linkWidth)
2634	1	admitReady	pay	32	12	9	32	32	0	0	0			work.calc(32).pay(30 + LITERAL.prepared + 3 + 2 * prepared.pictures.length)
2732	1	replayPlans	plus	64	7	6	16	16	48	48	2			work.calc(64).plus(LITERAL.branch, 3, 2, work.calc(32).times(prepared.fixed.length, 10 + LITERAL.ledgerRow), 2, work.calc(32).times(prepared.pictures.length, 3 + LITERAL.calendar))
2732	2	replayPlans	times	32	7	4	16	8	16	24	0			work.calc(32).times(prepared.fixed.length, 10 + LITERAL.ledgerRow)
2733	1	replayPlans	times	32	7	4	16	8	16	24	0			work.calc(32).times(prepared.pictures.length, 3 + LITERAL.calendar)
